country,year,sex,age,suicides_no,population
Germany,2000,male,55-74 years,2528,8760853
Germany,2000,male,75+ years,1069,1738251
Germany,2001,female,15-24 years,124,4561925
Germany,2001,female,25-34 years,221,5552605
Germany,2001,female,35-54 years,868,12069849
Germany,2001,female,5-14 years,11,4273747
Germany,2001,female,55-74 years,983,9568028
Germany,2001,female,75+ years,764,4192492
Germany,2001,male,15-24 years,593,4764237
Germany,2001,male,25-34 years,985,5850255
Germany,2001,male,35-54 years,3060,12523074
Germany,2001,male,5-14 years,37,4505958
Germany,2001,male,55-74 years,2415,8745869
Germany,2001,male,75+ years,1106,1813475
Germany,2002,female,15-24 years,141,4626561
Germany,2002,female,25-34 years,219,5348715
Germany,2002,female,35-54 years,905,12321464
Germany,2002,female,5-14 years,8,4220169
Germany,2002,female,55-74 years,1013,9531566
Germany,2002,female,75+ years,773,4251053
Germany,2002,male,15-24 years,609,4828748
Germany,2002,male,25-34 years,903,5614445
Germany,2002,male,35-54 years,3088,12777078
Germany,2002,male,5-14 years,16,4448685
Germany,2002,male,55-74 years,2354,8766453
Germany,2002,male,75+ years,1147,1898834
Germany,2003,female,15-24 years,155,4683375
Germany,2003,female,25-34 years,225,5161703
Germany,2003,female,35-54 years,887,12507791
Germany,2003,female,5-14 years,6,4150241
Germany,2003,female,55-74 years,925,9534506
Germany,2003,female,75+ years,775,4301218
Germany,2003,male,15-24 years,537,4883892
Germany,2003,male,25-34 years,868,5393875
Germany,2003,male,35-54 years,3157,12961625
Germany,2003,male,5-14 years,17,4373618
Germany,2003,male,55-74 years,2416,8804362
Germany,2003,male,75+ years,1187,2000255
Germany,2004,female,15-24 years,129,4726195
Germany,2004,female,25-34 years,180,5000272
Germany,2004,female,35-54 years,827,12631907
Germany,2004,female,5-14 years,7,4066582
Germany,2004,female,55-74 years,906,9568085
Germany,2004,female,75+ years,746,4360252
Germany,2004,male,15-24 years,518,4922745
Germany,2004,male,25-34 years,820,5196875
Germany,2004,male,35-54 years,3001,13080225
Germany,2004,male,5-14 years,16,4285546
Germany,2004,male,55-74 years,2413,8860469
Germany,2004,male,75+ years,1178,2112661
Germany,2005,female,15-24 years,117,4744626
Germany,2005,female,25-34 years,171,4889216
Germany,2005,female,35-54 years,840,12685901
Germany,2005,female,5-14 years,8,3979775
Germany,2005,female,55-74 years,939,9632657
Germany,2005,female,75+ years,664,4422784
Germany,2005,male,15-24 years,479,4939294
Germany,2005,male,25-34 years,730,5056621
Germany,2005,male,35-54 years,2875,13137730
Germany,2005,male,5-14 years,18,4194004
Germany,2005,male,55-74 years,2269,8943091
Germany,2005,male,75+ years,1160,2225555
Germany,2006,female,15-24 years,112,4727172
Germany,2006,female,25-34 years,154,4819150
Germany,2006,female,35-54 years,832,12694086
Germany,2006,female,5-14 years,9,3899892
